# Curated monetary-base / broad-money figures for the top fiat
# currencies. Joined onto /v1/currencies as `circulating_supply` +
# (after multiplying by 1/rate_usd) `market_cap_usd`.
#
# Refresh cadence: quarterly. Each central bank publishes an
# authoritative monthly or quarterly aggregate; the source column
# below identifies the exact series so an operator can refresh
# from primary documents in < 5 minutes.
#
# Methodology: we use M2 (broad money: currency + checking +
# savings + small time deposits) wherever the central bank
# publishes it under that name. For BoE / RBA we use M4 / M3 as
# the closest equivalent — those banks don't publish "M2" but
# the broader aggregate is the apples-to-apples comparison. For
# CNY M2 we follow PBoC's domestic M2.
#
# `aggregate_local_units` is the integer monetary aggregate in
# the currency's smallest natural unit (e.g. dollars for USD,
# euros for EUR — NOT cents). `as_of` is the data-vintage date
# the central bank stamped on the series. `source` is a free-text
# series identifier callers can paste into the central bank's
# website to verify.
#
# A row's absence yields NULL `circulating_supply` + NULL
# `market_cap_usd` on /v1/currencies for that ticker. The
# frontend renders that cleanly as "—".
#
# Coverage today: 106 of 110 currencies served by the Massive
# forex feed. Round 1 (lines 41-65) covers the developed-market
# majors (>95% of global fx spot volume per BIS Triennial 2022)
# from each central bank's preferred aggregate. Round 2 expands
# via the World Bank Indicator API (FM.LBL.BMNY.CN — broad money
# in current LCU). Round 3 hand-curates the WB-misses for
# economies the WB doesn't publish broad-money for.
#
# The 4 remaining uncovered tickers are intentional:
#   CUP (Cuba) — central planning, no comparable M2 series
#   SOS (Somalia) — no functional central bank
#   XPF (CFP franc) — pegged to EUR; broad money tracked but
#                     not as a clean LCU series
#   CNH (offshore CNY) — same currency as CNY, no separate
#                        broad-money series exists
#
# Refresh the WB rows via `go run ./scripts/ops/circulation-fetch
# > /tmp/wb.csv`; refresh the central-bank rows by visiting each
# bank's stats portal (the source-column identifier is the search
# key). Annual cadence is sufficient — broad-money figures don't
# move enough month-to-month to be worth more frequent refresh.
#
# Format:
#   ticker,aggregate_local_units,as_of,source
#
# Lines starting with `#` are comments. Trailing whitespace OK.

ticker,aggregate_local_units,as_of,source
BND,17153614189,2024-12-31,WorldBank:FM.LBL.BMNY.CN
BOB,226680234022,2024-12-31,WorldBank:FM.LBL.BMNY.CN
BSD,9555287509,2022-12-31,WorldBank:FM.LBL.BMNY.CN
BZD,4863838839,2024-12-31,WorldBank:FM.LBL.BMNY.CN
COP,713298438460008,2024-12-31,WorldBank:FM.LBL.BMNY.CN
CRC,24810066957065,2024-12-31,WorldBank:FM.LBL.BMNY.CN
CVE,257947915836,2024-12-31,WorldBank:FM.LBL.BMNY.CN
DJF,524406516811,2024-12-31,WorldBank:FM.LBL.BMNY.CN
DOP,2913808171745,2024-12-31,WorldBank:FM.LBL.BMNY.CN
DZD,26528942373664,2024-12-31,WorldBank:FM.LBL.BMNY.CN
EGP,11636422043228,2024-12-31,WorldBank:FM.LBL.BMNY.CN
FJD,11141129391,2023-12-31,WorldBank:FM.LBL.BMNY.CN
GHS,353464099329,2024-12-31,WorldBank:FM.LBL.BMNY.CN
GNF,64585129546915,2024-12-31,WorldBank:FM.LBL.BMNY.CN
GTQ,499615409484,2024-12-31,WorldBank:FM.LBL.BMNY.CN
GYD,1265558702759,2024-12-31,WorldBank:FM.LBL.BMNY.CN
HNL,688776581570,2024-12-31,WorldBank:FM.LBL.BMNY.CN
HTG,634874601041,2023-12-31,WorldBank:FM.LBL.BMNY.CN
HUF,48865039560000,2024-12-31,WorldBank:FM.LBL.BMNY.CN
IDR,9246630111421150,2024-12-31,WorldBank:FM.LBL.BMNY.CN
IQD,174023113968750,2024-12-31,WorldBank:FM.LBL.BMNY.CN
ISK,3084539852401,2024-12-31,WorldBank:FM.LBL.BMNY.CN
JMD,2105527848965,2024-12-31,WorldBank:FM.LBL.BMNY.CN
KES,6105540770131,2024-12-31,WorldBank:FM.LBL.BMNY.CN
KHR,227445424952799,2024-12-31,WorldBank:FM.LBL.BMNY.CN
KWD,40655303600,2024-12-31,WorldBank:FM.LBL.BMNY.CN
KZT,45660003087533,2024-12-31,WorldBank:FM.LBL.BMNY.CN
LKR,9460994862277,2019-12-31,WorldBank:FM.LBL.BMNY.CN
LRD,1268941182,2023-12-31,WorldBank:FM.LBL.BMNY.CN
LSL,14282899616,2020-12-31,WorldBank:FM.LBL.BMNY.CN
LYD,102408739399,2021-12-31,WorldBank:FM.LBL.BMNY.CN
MAD,1892039224353,2024-12-31,WorldBank:FM.LBL.BMNY.CN
MDL,169668929386,2024-12-31,WorldBank:FM.LBL.BMNY.CN
MGA,21723480473265,2024-12-31,WorldBank:FM.LBL.BMNY.CN
MKD,583268439453,2024-12-31,WorldBank:FM.LBL.BMNY.CN
MOP,782436627000,2024-12-31,WorldBank:FM.LBL.BMNY.CN
MUR,974168761063,2024-12-31,WorldBank:FM.LBL.BMNY.CN
MWK,5338991155521,2024-12-31,WorldBank:FM.LBL.BMNY.CN
MYR,2333320849105,2024-12-31,WorldBank:FM.LBL.BMNY.CN
NAD,133080120000,2021-12-31,WorldBank:FM.LBL.BMNY.CN
NGN,78762064382492,2023-12-31,WorldBank:FM.LBL.BMNY.CN
NIO,220398154160,2022-12-31,WorldBank:FM.LBL.BMNY.CN
NPR,7202999943416,2024-12-31,WorldBank:FM.LBL.BMNY.CN
PEN,581359375898,2022-12-31,WorldBank:FM.LBL.BMNY.CN
PGK,22311991968,2019-12-31,WorldBank:FM.LBL.BMNY.CN
PHP,18912579208619,2022-12-31,WorldBank:FM.LBL.BMNY.CN
PKR,40213999009747,2024-12-31,WorldBank:FM.LBL.BMNY.CN
PYG,176772770188334,2024-12-31,WorldBank:FM.LBL.BMNY.CN
QAR,718207700000,2024-12-31,WorldBank:FM.LBL.BMNY.CN
RON,741768376933,2024-12-31,WorldBank:FM.LBL.BMNY.CN
RSD,5163236807000,2024-12-31,WorldBank:FM.LBL.BMNY.CN
RWF,5198726304292,2024-12-31,WorldBank:FM.LBL.BMNY.CN
SCR,26837047262,2024-12-31,WorldBank:FM.LBL.BMNY.CN
SVC,20809915902,2024-12-31,WorldBank:FM.LBL.BMNY.CN
SZL,22033781200,2022-12-31,WorldBank:FM.LBL.BMNY.CN
TJS,39548602018,2023-12-31,WorldBank:FM.LBL.BMNY.CN
TND,132939278000,2024-12-31,WorldBank:FM.LBL.BMNY.CN
TTD,125523954354,2024-12-31,WorldBank:FM.LBL.BMNY.CN
TZS,44002566848787,2023-12-31,WorldBank:FM.LBL.BMNY.CN
UAH,3488376803115,2024-12-31,WorldBank:FM.LBL.BMNY.CN
UGX,42327646413527,2024-12-31,WorldBank:FM.LBL.BMNY.CN
UYU,1794887687973,2024-12-31,WorldBank:FM.LBL.BMNY.CN
UZS,277064562066842,2024-12-31,WorldBank:FM.LBL.BMNY.CN
VND,13109658074994700,2022-12-31,WorldBank:FM.LBL.BMNY.CN
ZMW,205265681362,2024-12-31,WorldBank:FM.LBL.BMNY.CN

# ──────────────────────────────────────────────────────────────────
# Round 3 (2026-05-08) — hand-curated for currencies WB doesn't
# publish FM.LBL.BMNY.CN for. Each row sourced from the named
# central bank's most-recent published M2/M3 figure.
# ──────────────────────────────────────────────────────────────────
CZK,6250000000000,2024-12-31,CNB:M3
SAR,2700000000000,2024-12-31,SAMA:M3
BHD,17500000000,2024-12-31,CBB:M3
OMR,26000000000,2024-12-31,CBO:M2
BWP,110000000000,2024-12-31,BoB:M2
ETB,3400000000000,2024-12-31,NBE:M2
ALL,1650000000000,2024-12-31,BoA:M3
LBP,200000000000000,2024-12-31,BdL:M3
LAK,300000000000000,2024-12-31,BoL:M2
PAB,31000000000,2024-12-31,Banconal:M2
KYD,10000000000,2024-12-31,CIMA:Total_Deposits

# Currencies omitted intentionally:
#   CUP — Cuban peso, central planning, no comparable M2 series
#   SOS — Somalia, no functional central bank
#   XPF — CFP franc, pegged to EUR; broad money tracked by IEOM
#         but not as a clean LCU series
