path	top_level	audit_unit	status	evidence_refs	cross_refs	notes
configs/ansible/roles/archival-node/tasks/05-postgres.yml	configs	configs/ansible	done	EV-0042	XREF-0030	Archival-node deployment surface covered in deploy/architecture pass; filesystem-backend violation logged separately.
configs/ansible/roles/archival-node/tasks/06-stellar-core.yml	configs	configs/ansible	done	EV-0042	XREF-0030	Archival-node deployment surface covered in deploy/architecture pass; filesystem-backend violation logged separately.
configs/ansible/roles/archival-node/tasks/07-galexie.yml	configs	configs/ansible	done	EV-0042	XREF-0030	Archival-node deployment surface covered in deploy/architecture pass; filesystem-backend violation logged separately.
configs/ansible/roles/archival-node/tasks/08-stellar-rpc.yml	configs	configs/ansible	done	EV-0042	XREF-0030	Archival-node deployment surface covered in deploy/architecture pass; filesystem-backend violation logged separately.
configs/ansible/roles/archival-node/tasks/09-minio.yml	configs	configs/ansible	done	EV-0042	XREF-0030	Archival-node deployment surface covered in deploy/architecture pass; filesystem-backend violation logged separately.
configs/ansible/roles/archival-node/tasks/10-observability.yml	configs	configs/ansible	done	EV-0042	XREF-0030	Archival-node deployment surface covered in deploy/architecture pass; filesystem-backend violation logged separately.
configs/ansible/roles/archival-node/tasks/11-firewall.yml	configs	configs/ansible	done	EV-0042	XREF-0030	Archival-node deployment surface covered in deploy/architecture pass; filesystem-backend violation logged separately.
configs/ansible/roles/archival-node/tasks/12-hardening.yml	configs	configs/ansible	done	EV-0042	XREF-0030	Archival-node deployment surface covered in deploy/architecture pass; filesystem-backend violation logged separately.
configs/ansible/roles/archival-node/tasks/13-healthcheck.yml	configs	configs/ansible	done	EV-0042	XREF-0030	Archival-node deployment surface covered in deploy/architecture pass; filesystem-backend violation logged separately.
configs/ansible/roles/archival-node/tasks/14-ratesengine-services.yml	configs	configs/ansible	done	EV-0042	XREF-0030	Archival-node deployment surface covered in deploy/architecture pass; filesystem-backend violation logged separately.
configs/ansible/roles/archival-node/tasks/main.yml	configs	configs/ansible	done	EV-0042	XREF-0030	Archival-node deployment surface covered in deploy/architecture pass; filesystem-backend violation logged separately.
configs/ansible/roles/archival-node/templates/galexie.toml.j2	configs	configs/ansible	done	EV-0042	XREF-0030	Archival-node deployment surface covered in deploy/architecture pass; filesystem-backend violation logged separately.
configs/ansible/roles/archival-node/templates/minio.env.j2	configs	configs/ansible	done	EV-0042	XREF-0030	Archival-node deployment surface covered in deploy/architecture pass; filesystem-backend violation logged separately.
configs/ansible/roles/archival-node/templates/nftables.conf.j2	configs	configs/ansible	done	EV-0042	XREF-0030	Archival-node deployment surface covered in deploy/architecture pass; filesystem-backend violation logged separately.
configs/ansible/roles/archival-node/templates/pg_hba.conf.j2	configs	configs/ansible	done	EV-0042	XREF-0030	Archival-node deployment surface covered in deploy/architecture pass; filesystem-backend violation logged separately.
configs/ansible/roles/archival-node/templates/postgresql.conf.j2	configs	configs/ansible	done	EV-0042	XREF-0030	Archival-node deployment surface covered in deploy/architecture pass; filesystem-backend violation logged separately.
configs/ansible/roles/archival-node/templates/ratesengine.toml.j2	configs	configs/ansible	done	EV-0042	XREF-0030	Archival-node deployment surface covered in deploy/architecture pass; filesystem-backend violation logged separately.
configs/ansible/roles/archival-node/templates/sshd_config.j2	configs	configs/ansible	done	EV-0042	XREF-0030	Archival-node deployment surface covered in deploy/architecture pass; filesystem-backend violation logged separately.
configs/ansible/roles/archival-node/templates/stellar-core.cfg.j2	configs	configs/ansible	done	EV-0042	XREF-0030	Archival-node deployment surface covered in deploy/architecture pass; filesystem-backend violation logged separately.
configs/ansible/roles/archival-node/templates/stellar-rpc.cfg.j2	configs	configs/ansible	done	EV-0042	XREF-0030	Archival-node deployment surface covered in deploy/architecture pass; filesystem-backend violation logged separately.
configs/ansible/roles/archival-node/templates/systemd/galexie.service.j2	configs	configs/ansible	done	EV-0042	XREF-0030	Archival-node deployment surface covered in deploy/architecture pass; filesystem-backend violation logged separately.
configs/ansible/roles/archival-node/templates/systemd/minio.service.j2	configs	configs/ansible	done	EV-0042	XREF-0030	Archival-node deployment surface covered in deploy/architecture pass; filesystem-backend violation logged separately.
configs/ansible/roles/archival-node/templates/systemd/node-healthcheck.service.j2	configs	configs/ansible	done	EV-0042	XREF-0030	Archival-node deployment surface covered in deploy/architecture pass; filesystem-backend violation logged separately.
configs/ansible/roles/archival-node/templates/systemd/node-healthcheck.timer.j2	configs	configs/ansible	done	EV-0042	XREF-0030	Archival-node deployment surface covered in deploy/architecture pass; filesystem-backend violation logged separately.
configs/ansible/roles/archival-node/templates/systemd/ratesengine-aggregator.service.j2	configs	configs/ansible	done	EV-0042	XREF-0030	Archival-node deployment surface covered in deploy/architecture pass; filesystem-backend violation logged separately.
configs/ansible/roles/archival-node/templates/systemd/ratesengine-indexer.service.j2	configs	configs/ansible	done	EV-0042	XREF-0030	Archival-node deployment surface covered in deploy/architecture pass; filesystem-backend violation logged separately.
configs/ansible/roles/archival-node/templates/systemd/stellar-core.service.j2	configs	configs/ansible	done	EV-0042	XREF-0030	Archival-node deployment surface covered in deploy/architecture pass; filesystem-backend violation logged separately.
configs/ansible/roles/archival-node/templates/systemd/stellar-rpc.service.j2	configs	configs/ansible	done	EV-0042	XREF-0030	Archival-node deployment surface covered in deploy/architecture pass; filesystem-backend violation logged separately.
configs/example.toml	configs	configs/example.toml	done	EV-0003	XREF-0002	Example config still says auth modes are planned / none-only.
deploy/docker-compose/.env.example	deploy	deploy/docker-compose	done	EV-0042		Local-stack deploy surface covered in reproducibility/deploy pass.
deploy/docker-compose/README.md	deploy	deploy/docker-compose	done	EV-0008	XREF-0004	README examples and troubleshooting text are stale relative to migration graph and CLI.
deploy/docker-compose/dev.yaml	deploy	deploy/docker-compose	done	EV-0002		Actual local dev stack composition reviewed.
deploy/docker-compose/init/00-timescale-extension.sql	deploy	deploy/docker-compose	done	EV-0042		Local-stack deploy surface covered in reproducibility/deploy pass.
deploy/monitoring/README.md	deploy	deploy/monitoring	done	EV-0041	XREF-0029	Monitoring-rule/control docs covered in observability pass; CI/test drift logged separately.
deploy/monitoring/rules/aggregator.yml	deploy	deploy/monitoring	done	EV-0041	XREF-0029	Monitoring-rule/control docs covered in observability pass; CI/test drift logged separately.
deploy/monitoring/rules/anomaly.yml	deploy	deploy/monitoring	done	EV-0041	XREF-0029	Monitoring-rule/control docs covered in observability pass; CI/test drift logged separately.
deploy/monitoring/rules/api.yml	deploy	deploy/monitoring	done	EV-0041	XREF-0029	Monitoring-rule/control docs covered in observability pass; CI/test drift logged separately.
deploy/monitoring/rules/archive-completeness.yml	deploy	deploy/monitoring	done	EV-0041	XREF-0029	Monitoring-rule/control docs covered in observability pass; CI/test drift logged separately.
deploy/monitoring/rules/cache.yml	deploy	deploy/monitoring	done	EV-0041	XREF-0029	Monitoring-rule/control docs covered in observability pass; CI/test drift logged separately.
deploy/monitoring/rules/divergence.yml	deploy	deploy/monitoring	done	EV-0041	XREF-0029	Monitoring-rule/control docs covered in observability pass; CI/test drift logged separately.
deploy/monitoring/rules/infra.yml	deploy	deploy/monitoring	done	EV-0041	XREF-0029	Monitoring-rule/control docs covered in observability pass; CI/test drift logged separately.
deploy/monitoring/rules/ingestion.yml	deploy	deploy/monitoring	done	EV-0029,EV-0032	XREF-0022,XREF-0025	Ingestion rules reviewed; orphan/decode alerts exist despite missing production metric emission, and source-health alerts still depend on legacy-only gauges.
deploy/monitoring/rules/meta.yml	deploy	deploy/monitoring	done	EV-0041	XREF-0029	Monitoring-rule/control docs covered in observability pass; CI/test drift logged separately.
deploy/monitoring/rules/slo.yml	deploy	deploy/monitoring	done	EV-0041	XREF-0029	Monitoring-rule/control docs covered in observability pass; CI/test drift logged separately.
deploy/monitoring/rules/stellar.yml	deploy	deploy/monitoring	done	EV-0041	XREF-0029	Monitoring-rule/control docs covered in observability pass; CI/test drift logged separately.
deploy/monitoring/rules/storage.yml	deploy	deploy/monitoring	done	EV-0041	XREF-0029	Monitoring-rule/control docs covered in observability pass; CI/test drift logged separately.
deploy/monitoring/rules/supply.yml	deploy	deploy/monitoring	done	EV-0041	XREF-0029	Monitoring-rule/control docs covered in observability pass; CI/test drift logged separately.
deploy/monitoring/rules/verify-archive.yml	deploy	deploy/monitoring	done	EV-0041	XREF-0029	Monitoring-rule/control docs covered in observability pass; CI/test drift logged separately.
deploy/systemd/archive-completeness.service	deploy	deploy/systemd	done	EV-0025,EV-0042		Systemd control surfaces covered in archive/deploy pass.
deploy/systemd/archive-completeness.timer	deploy	deploy/systemd	done	EV-0025,EV-0042		Systemd control surfaces covered in archive/deploy pass.
deploy/systemd/ratesengine-aggregator.service	deploy	deploy/systemd	done	EV-0025,EV-0042		Systemd control surfaces covered in archive/deploy pass.
deploy/systemd/ratesengine-api.service	deploy	deploy/systemd	done	EV-0025,EV-0042		Systemd control surfaces covered in archive/deploy pass.
deploy/systemd/ratesengine-indexer.service	deploy	deploy/systemd	done	EV-0025,EV-0042		Systemd control surfaces covered in archive/deploy pass.
deploy/systemd/verify-archive-tier-a.service	deploy	deploy/systemd	done	EV-0025,EV-0042		Systemd control surfaces covered in archive/deploy pass.
deploy/systemd/verify-archive-tier-a.timer	deploy	deploy/systemd	done	EV-0025,EV-0042		Systemd control surfaces covered in archive/deploy pass.
docs/adr/0001-horizon-deprecated.md	docs	docs/adr	done	EV-0044		Architecture/ADR policy surface used as binding audit baseline.
docs/adr/0002-minio-s3-compat-storage.md	docs	docs/adr	done	EV-0044		Architecture/ADR policy surface used as binding audit baseline.
docs/adr/0003-i128-no-truncation.md	docs	docs/adr	done	EV-0044		Architecture/ADR policy surface used as binding audit baseline.
docs/adr/0004-tier1-validator-aspiration.md	docs	docs/adr	done	EV-0044		Architecture/ADR policy surface used as binding audit baseline.
docs/adr/0005-monorepo.md	docs	docs/adr	done	EV-0044		Architecture/ADR policy surface used as binding audit baseline.
docs/adr/0006-timescaledb-for-price-time-series.md	docs	docs/adr	done	EV-0044		Architecture/ADR policy surface used as binding audit baseline.
docs/adr/0007-redis-cache-schema.md	docs	docs/adr	done	EV-0044		Architecture/ADR policy surface used as binding audit baseline.
docs/adr/0008-ha-topology.md	docs	docs/adr	done	EV-0044		Architecture/ADR policy surface used as binding audit baseline.
docs/adr/0009-latency-budget.md	docs	docs/adr	done	EV-0044		Architecture/ADR policy surface used as binding audit baseline.
docs/adr/0010-off-chain-fiat-representation.md	docs	docs/adr	done	EV-0044		Architecture/ADR policy surface used as binding audit baseline.
docs/adr/0011-supply-algorithm.md	docs	docs/adr	done	EV-0044		Architecture/ADR policy surface used as binding audit baseline.
docs/adr/0013-go-stellar-sdk-xdr-for-scval.md	docs	docs/adr	done	EV-0044		Architecture/ADR policy surface used as binding audit baseline.
docs/adr/0014-crypto-ticker-representation.md	docs	docs/adr	done	EV-0044		Architecture/ADR policy surface used as binding audit baseline.
docs/adr/0015-last-closed-bucket-rate-serving.md	docs	docs/adr	done	EV-0021	XREF-0015	Reviewed against closed-bucket source-order determinism requirements.
docs/adr/0016-per-region-storage-strategy.md	docs	docs/adr	done	EV-0044		Architecture/ADR policy surface used as binding audit baseline.
docs/adr/0017-archive-completeness-invariants.md	docs	docs/adr	done	EV-0025	XREF-0018	Accepted archive-completeness ADR reviewed against the live operator implementation and metrics/report surfaces.
docs/adr/0018-api-consistency-surfaces.md	docs	docs/adr	done	EV-0044		Architecture/ADR policy surface used as binding audit baseline.
docs/adr/0019-anomaly-response-and-confidence-scoring.md	docs	docs/adr	done	EV-0044		Architecture/ADR policy surface used as binding audit baseline.
docs/adr/README.md	docs	docs/adr	done	EV-0044		Architecture/ADR policy surface used as binding audit baseline.
docs/adr/_template.md	docs	docs/adr	done	EV-0044		Architecture/ADR policy surface used as binding audit baseline.
docs/architecture/aggregation-plan.md	docs	docs/architecture	done	EV-0017	XREF-0013	Deferred triangulation notes reviewed against live orchestrator implementation.
docs/architecture/contract-schema-evolution.md	docs	docs/architecture	done	EV-0044		Architecture/ADR policy surface used as binding audit baseline.
docs/architecture/coverage-matrix.md	docs	docs/architecture	done	EV-0007	XREF-0003	Coverage matrix still assigns live ingest ownership to legacy `internal/consumer` path.
docs/architecture/ecosystem-review-2026-04-23.md	docs	docs/architecture	done	EV-0044		Architecture/ADR policy surface used as binding audit baseline.
docs/architecture/ha-plan.md	docs	docs/architecture	done	EV-0044		Architecture/ADR policy surface used as binding audit baseline.
docs/architecture/infrastructure/archival-node-spec.md	docs	docs/architecture	done	EV-0044		Architecture/ADR policy surface used as binding audit baseline.
docs/architecture/infrastructure/existing-k8s-assessment.md	docs	docs/architecture	done	EV-0044		Architecture/ADR policy surface used as binding audit baseline.
docs/architecture/infrastructure/hosting-options.md	docs	docs/architecture	done	EV-0044		Architecture/ADR policy surface used as binding audit baseline.
docs/architecture/infrastructure/multi-region-topology.md	docs	docs/architecture	done	EV-0044		Architecture/ADR policy surface used as binding audit baseline.
docs/architecture/infrastructure/validator-rollout.md	docs	docs/architecture	done	EV-0044		Architecture/ADR policy surface used as binding audit baseline.
docs/architecture/ingest-pipeline.md	docs	docs/architecture	done	EV-0007	XREF-0001,XREF-0003	Binding ingest topology reviewed against runtime indexer and legacy consumer package.
docs/architecture/launch-readiness-backlog.md	docs	docs/architecture	done	EV-0044		Architecture/ADR policy surface used as binding audit baseline.
docs/architecture/oracle-manipulation-defense.md	docs	docs/architecture	done	EV-0044		Architecture/ADR policy surface used as binding audit baseline.
docs/architecture/repo-hygiene-plan.md	docs	docs/architecture	done	EV-0044		Architecture/ADR policy surface used as binding audit baseline.
docs/architecture/semver-policy.md	docs	docs/architecture	done	EV-0044		Architecture/ADR policy surface used as binding audit baseline.
docs/audit-2026-04-29/00-plan.md	docs	docs/audit-2026-04-29	done	X-0002		Audit workspace control artifact; retained as auditable execution record, not product behavior.
docs/audit-2026-04-29/01-tracker.md	docs	docs/audit-2026-04-29	done	X-0002		Audit workspace control artifact; retained as auditable execution record, not product behavior.
docs/audit-2026-04-29/02-protocol.md	docs	docs/audit-2026-04-29	done	X-0002		Audit workspace control artifact; retained as auditable execution record, not product behavior.
docs/audit-2026-04-29/03-journeys.md	docs	docs/audit-2026-04-29	done	X-0002		Audit workspace control artifact; retained as auditable execution record, not product behavior.
docs/audit-2026-04-29/04-reconciliation.md	docs	docs/audit-2026-04-29	done	X-0002		Audit workspace control artifact; retained as auditable execution record, not product behavior.
docs/audit-2026-04-29/05-findings-register.md	docs	docs/audit-2026-04-29	done	X-0002		Audit workspace control artifact; retained as auditable execution record, not product behavior.
docs/audit-2026-04-29/06-exclusions-register.md	docs	docs/audit-2026-04-29	done	X-0002		Audit workspace control artifact; retained as auditable execution record, not product behavior.
docs/audit-2026-04-29/README.md	docs	docs/audit-2026-04-29	done	X-0002		Audit workspace control artifact; retained as auditable execution record, not product behavior.
docs/audit-2026-04-29/evidence/README.md	docs	docs/audit-2026-04-29	done	X-0002		Audit workspace control artifact; retained as auditable execution record, not product behavior.
docs/audit-2026-04-29/evidence/cross-file-interactions.md	docs	docs/audit-2026-04-29	done	X-0002		Audit workspace control artifact; retained as auditable execution record, not product behavior.
docs/audit-2026-04-29/evidence/log.md	docs	docs/audit-2026-04-29	done	X-0002		Audit workspace control artifact; retained as auditable execution record, not product behavior.
docs/audit-2026-04-29/inventory/README.md	docs	docs/audit-2026-04-29	done	X-0002		Audit workspace control artifact; retained as auditable execution record, not product behavior.
docs/audit-2026-04-29/inventory/generate.sh	docs	docs/audit-2026-04-29	done	X-0002		Audit workspace control artifact; retained as auditable execution record, not product behavior.
docs/audit-2026-04-29/inventory/repo-snapshot.md	docs	docs/audit-2026-04-29	done	X-0002		Audit workspace control artifact; retained as auditable execution record, not product behavior.
docs/ctx-proposal.md	docs	docs/ctx-proposal.md	done	EV-0044		Documentation surface covered in top-down architecture/docs-truth pass.
docs/discovery/README.md	docs	docs/discovery	excluded	EV-0036		Frozen discovery archive; excluded from live-runtime truth target per X-0003.
docs/discovery/VERSIONS.md	docs	docs/discovery	excluded	EV-0036		Frozen discovery archive; excluded from live-runtime truth target per X-0003.
docs/discovery/adversarial-audit.md	docs	docs/discovery	excluded	EV-0036		Frozen discovery archive; excluded from live-runtime truth target per X-0003.
docs/discovery/data-sources/archival-nodes.md	docs	docs/discovery	excluded	EV-0036		Frozen discovery archive; excluded from live-runtime truth target per X-0003.
docs/discovery/data-sources/composable-data-platform.md	docs	docs/discovery	excluded	EV-0036		Frozen discovery archive; excluded from live-runtime truth target per X-0003.
docs/discovery/data-sources/galexie.md	docs	docs/discovery	excluded	EV-0036		Frozen discovery archive; excluded from live-runtime truth target per X-0003.
docs/discovery/data-sources/sep1-home-domain.md	docs	docs/discovery	excluded	EV-0036		Frozen discovery archive; excluded from live-runtime truth target per X-0003.
docs/discovery/data-sources/stellar-archivist.md	docs	docs/discovery	excluded	EV-0036		Frozen discovery archive; excluded from live-runtime truth target per X-0003.
docs/discovery/data-sources/stellar-data-lakes.md	docs	docs/discovery	excluded	EV-0036		Frozen discovery archive; excluded from live-runtime truth target per X-0003.
docs/discovery/data-sources/stellar-etl.md	docs	docs/discovery	excluded	EV-0036		Frozen discovery archive; excluded from live-runtime truth target per X-0003.
docs/discovery/data-sources/stellar-ledger-data-indexer.md	docs	docs/discovery	excluded	EV-0036		Frozen discovery archive; excluded from live-runtime truth target per X-0003.
docs/discovery/data-sources/supply-data.md	docs	docs/discovery	excluded	EV-0036		Frozen discovery archive; excluded from live-runtime truth target per X-0003.
docs/discovery/data-sources/withobsrvr-cdp-pipeline-workflow.md	docs	docs/discovery	excluded	EV-0036		Frozen discovery archive; excluded from live-runtime truth target per X-0003.
docs/discovery/data-sources/withobsrvr-flowctl.md	docs	docs/discovery	excluded	EV-0036		Frozen discovery archive; excluded from live-runtime truth target per X-0003.
docs/discovery/data-sources/withobsrvr-nebu.md	docs	docs/discovery	excluded	EV-0036		Frozen discovery archive; excluded from live-runtime truth target per X-0003.
docs/discovery/data-sources/withobsrvr-overview.md	docs	docs/discovery	excluded	EV-0036		Frozen discovery archive; excluded from live-runtime truth target per X-0003.
docs/discovery/data-sources/withobsrvr-stellar-extract.md	docs	docs/discovery	excluded	EV-0036		Frozen discovery archive; excluded from live-runtime truth target per X-0003.
docs/discovery/decisions.md	docs	docs/discovery	excluded	EV-0036		Frozen discovery archive; excluded from live-runtime truth target per X-0003.
docs/discovery/delivery-plan.md	docs	docs/discovery	excluded	EV-0036		Frozen discovery archive; excluded from live-runtime truth target per X-0003.
docs/discovery/dexes-amms/aquarius.md	docs	docs/discovery	excluded	EV-0036		Frozen discovery archive; excluded from live-runtime truth target per X-0003.
docs/discovery/dexes-amms/blend.md	docs	docs/discovery	excluded	EV-0036		Frozen discovery archive; excluded from live-runtime truth target per X-0003.
docs/discovery/dexes-amms/comet.md	docs	docs/discovery	excluded	EV-0036		Frozen discovery archive; excluded from live-runtime truth target per X-0003.
docs/discovery/dexes-amms/phoenix.md	docs	docs/discovery	excluded	EV-0036		Frozen discovery archive; excluded from live-runtime truth target per X-0003.
docs/discovery/dexes-amms/residual-defi-protocols.md	docs	docs/discovery	excluded	EV-0036		Frozen discovery archive; excluded from live-runtime truth target per X-0003.
docs/discovery/dexes-amms/sdex.md	docs	docs/discovery	excluded	EV-0036		Frozen discovery archive; excluded from live-runtime truth target per X-0003.
docs/discovery/dexes-amms/soroswap.md	docs	docs/discovery	excluded	EV-0036		Frozen discovery archive; excluded from live-runtime truth target per X-0003.
docs/discovery/engineering-standards.md	docs	docs/discovery	excluded	EV-0036		Frozen discovery archive; excluded from live-runtime truth target per X-0003.
docs/discovery/existing-ctx-rates.md	docs	docs/discovery	excluded	EV-0036		Frozen discovery archive; excluded from live-runtime truth target per X-0003.
docs/discovery/external-refs/cex-feeds.md	docs	docs/discovery	excluded	EV-0036		Frozen discovery archive; excluded from live-runtime truth target per X-0003.
