source	contract	event_topic_0	event_topic_1	classified_by_decoder	persisted_to_table	tested	notes
redstone	(any)	REDSTONE (Symbol)	—	yes	oracle_updates / oracle_prices_*	unit	WritePrices with op_args feed_id
band	MainnetBandContract	(ContractCallDecoder)	relay	yes	oracle_updates	unit	zero events; observes relay()
band	MainnetBandContract	(ContractCallDecoder)	force_relay	yes	oracle_updates	unit	same; admin fns out of scope
cctp	TokenMessengerMinter	deposit_for_burn (Symbol)	—	yes	cctp_events	unit	rc.80 #21 backfill-safe
cctp	TokenMessengerMinter	mint_and_withdraw (Symbol)	—	yes	cctp_events	unit	#21
cctp	MessageTransmitter	message_sent (Symbol)	—	yes	cctp_events	unit	#21
cctp	MessageTransmitter	message_received (Symbol)	—	yes	cctp_events	unit	#21
cctp	CctpForwarder	(passes events through; no own emission)	—	n/a	—	—	contract-id allowlisted but emits nothing
rozo	(any of 3 payment contracts)	payment (Symbol)	—	yes	rozo_events	unit	rc.80 #21
rozo	(any of 3 payment contracts)	flush (Symbol)	—	yes	rozo_events	unit	#21
defindex	(any strategy WASM)	BlendStrategy (String)	deposit	yes	defindex	unit	rc.63 phase A
defindex	(any strategy WASM)	BlendStrategy (String)	withdraw	yes	defindex	unit	phase A
defindex	(any vault WASM)	DeFindexVault (String)	deposit	yes	defindex	unit	rc.63 phase B
defindex	(any vault WASM)	DeFindexVault (String)	withdraw	yes	defindex	unit	phase B
defindex	(any strategy WASM)	BlendStrategy (String)	harvest	**NO**	—	—	**GAP** out of scope per events.go doc; project_every_event_principle violation (F-0018)
defindex	(any vault WASM)	DeFindexVault (String)	rebalance	**NO**	—	—	**GAP**: out of scope per events.go (F-0018)
defindex	(any vault WASM)	DeFindexVault (String)	admin (set_*)	**NO**	—	—	**GAP**: out of scope (F-0018)
defindex	factory	(create)	—	**NO**	—	—	**GAP**: factory create events out of scope; would tell us about new vaults (F-0018)
defindex	factory	(n_fee)	—	**NO**	—	—	**GAP**: out of scope (F-0018)
sep41_supply	(any SEP-41 contract)	transfer (Symbol)	—	yes	sep41_supply_events	unit	CAP-67 + pre-CAP-67 shapes
sep41_supply	(any SEP-41 contract)	mint (Symbol)	—	yes	sep41_supply_events	unit	—
sep41_supply	(any SEP-41 contract)	burn (Symbol)	—	yes	sep41_supply_events	unit	—
sep41_supply	(any SEP-41 contract)	clawback (Symbol)	—	yes	sep41_supply_events	unit	—
sep41_supply	(any SEP-41 contract)	set_admin (Symbol)	—	unknown — verify	—	—	check decode.go
sep41_supply	(any SEP-41 contract)	set_authorized (Symbol)	—	unknown — verify	—	—	check decode.go
sdex	(classic)	—	—	n/a (ops + effects, not Soroban events)	trades	unit	ManageBuyOffer / ManageSellOffer / PathPayment*
accounts	(classic)	—	—	n/a (LedgerEntryChange)	account_observations	unit	ADR-0021
trustlines	(classic)	—	—	n/a (LedgerEntryChange)	trustline_observations	unit	ADR-0022
claimable_balances	(classic)	—	—	n/a (LedgerEntryChange)	claimable_observations	unit	ADR-0022
liquidity_pools	(classic)	—	—	n/a (LedgerEntryChange)	lp_reserve_observations	unit	ADR-0022
sac_balances	(classic)	—	—	n/a (LedgerEntryChange)	sac_balance_observations	unit	ADR-0022
sorobanevents	(catch-all, any Soroban event)	—	—	yes (catch-all hook)	soroban_events	unit	ADR-0029 — captures every event including the ones above
